CaseNumber,IUCR,Description,LocationDescription,Arrest,District,CommunityArea,UpdatedOn,Latitude,Longitude,Date,Time,Year,Month,Day
JF100052,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,1,4,46,2023-01-03 15:40:27,41.7493,-87.5686,2022-01-01,00:00:00,2022,1,1
JF100074,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,1,1,33,2023-01-03 15:40:27,41.8651,-87.6241,2022-01-01,00:00:00,2022,1,1
JF100030,460.0,SIMPLE,SIDEWALK,0,19,6,2023-01-03 15:40:27,41.9369,-87.6716,2022-01-01,00:31:00,2022,1,1
JF100039,430.0,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,1,25,19,2023-01-03 15:40:27,41.9374,-87.7845,2022-01-01,00:28:00,2022,1,1
JF100261,460.0,SIMPLE,APARTMENT,0,2,35,2023-01-03 15:40:27,41.8286,-87.6193,2022-01-01,02:45:00,2022,1,1
JF100170,460.0,SIMPLE,APARTMENT,1,9,59,2023-01-03 15:40:27,41.8351,-87.6657,2022-01-01,03:21:00,2022,1,1
JF100220,486.0,DOMESTIC BATTERY SIMPLE,STREET,0,14,24,2023-01-03 15:40:27,41.9039,-87.6955,2022-01-01,04:22:00,2022,1,1
JF100255,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,15,25,2023-01-03 15:40:27,41.8748,-87.7624,2022-01-01,05:22:00,2022,1,1
JF100196,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,25,19,2023-01-03 15:40:27,41.9359,-87.7455,2022-01-01,03:00:00,2022,1,1
JF100142,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,4,46,2023-01-03 15:40:27,41.7313,-87.5499,2022-01-01,02:00:00,2022,1,1
JF100402,497.0,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,APARTMENT,0,9,61,2023-01-03 15:40:27,41.7991,-87.655,2022-01-01,07:00:00,2022,1,1
JF100245,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,10,29,2023-01-03 15:40:27,41.8601,-87.7299,2022-01-01,04:00:00,2022,1,1
JF100610,498.0,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,1,24,1,2023-01-03 15:40:27,42.0211,-87.67,2022-01-01,13:48:00,2022,1,1
JF100639,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,9,61,2023-01-03 15:40:27,41.797,-87.6513,2022-01-01,14:00:00,2022,1,1
JF100619,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,15,25,2023-01-03 15:40:27,41.8975,-87.7734,2022-01-01,14:29:00,2022,1,1
JF100527,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,17,16,2023-01-03 15:40:27,41.9572,-87.7242,2022-01-01,11:43:00,2022,1,1
JF100809,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,7,68,2023-01-03 15:40:27,41.7772,-87.6459,2022-01-01,18:33:00,2022,1,1
JF100776,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,1,12,31,2023-01-03 15:40:27,41.8531,-87.6767,2022-01-01,18:15:00,2022,1,1
JF100827,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,22,72,2023-01-03 15:40:27,41.704,-87.6689,2022-01-01,19:45:00,2022,1,1
JF100629,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,10,29,2023-01-03 15:40:27,41.8505,-87.7323,2022-01-01,14:35:00,2022,1,1
JF100866,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,17,13,2023-01-03 15:40:27,41.9835,-87.7309,2022-01-01,21:00:00,2022,1,1
JF100700,497.0,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,RESIDENCE,1,15,25,2023-01-03 15:40:27,41.8919,-87.7689,2022-01-01,16:05:00,2022,1,1
JF100955,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,11,27,2023-01-03 15:40:27,41.8786,-87.7037,2022-01-02,01:45:00,2022,1,2
JF100247,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,6,44,2023-01-03 15:40:27,41.7448,-87.6111,2022-01-01,05:00:00,2022,1,1
JF100784,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,6,71,2023-01-03 15:40:27,41.7524,-87.6482,2022-01-01,15:00:00,2022,1,1
JF100454,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,3,69,2023-01-03 15:40:27,41.7689,-87.5952,2022-01-01,00:00:00,2022,1,1
JF101094,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,3,43,2023-01-03 15:40:27,41.7657,-87.5689,2022-01-01,05:45:00,2022,1,1
JF101107,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,4,43,2023-01-03 15:40:27,41.7531,-87.5585,2022-01-02,09:20:00,2022,1,2
